rule,param,live,demo,n_stop,elapsed_s,time_saved_s,dev_pos_mm,dev_rot_deg,abs_pos_mm,abs_rot_deg,failed
time,0.1,pick_up_mug_001,pick_up_mug_002,14,0.105,2.9051,0.0,0.0,291.5083,31.8199,0
time,0.1,pick_up_mug_001,pick_up_mug_003,12,0.1012,2.909,39.2545,4.646,319.2892,38.3018,0
time,0.1,pick_up_mug_001,pick_up_mug_004,15,0.1065,2.8986,0.2497,0.0296,691.9397,96.835,0
time,0.1,pick_up_mug_001,pick_up_mug_005,9,0.1118,2.8957,25.8238,3.0471,819.4424,125.0862,0
time,0.1,pick_up_mug_001,pick_up_mug_006,10,0.1023,2.9079,74.3814,8.8756,279.8531,34.0433,0
time,0.1,pick_up_mug_001,pick_up_mug_007,11,0.1043,2.8972,1.1364,0.1327,218.1788,28.8713,0
time,0.1,pick_up_mug_001,pick_up_mug_008,7,0.1041,2.8965,2.4555,0.3054,182.5506,19.5352,0
time,0.1,pick_up_mug_002,pick_up_mug_001,7,0.1039,2.8992,18.6403,1.7455,596.8584,55.3831,0
time,0.1,pick_up_mug_002,pick_up_mug_003,16,0.1003,2.9014,0.0,0.0,114.7661,12.63,0
time,0.1,pick_up_mug_002,pick_up_mug_004,17,0.1008,2.9032,22.1897,2.0184,627.5561,65.8986,0
time,0.1,pick_up_mug_002,pick_up_mug_005,10,0.1091,2.8919,20.713,1.9997,943.958,105.8586,0
time,0.1,pick_up_mug_002,pick_up_mug_006,12,0.1011,2.9018,45.8442,4.3592,95.4639,8.558,0
time,0.1,pick_up_mug_002,pick_up_mug_007,18,0.1099,2.8922,0.0,0.0,572.9422,54.3083,0
time,0.1,pick_up_mug_002,pick_up_mug_008,8,0.1147,2.8926,26.6571,2.5749,636.4442,62.3901,0
time,0.1,pick_up_mug_003,pick_up_mug_001,7,0.106,2.8986,17.9902,1.6301,704.9152,67.9725,0
time,0.1,pick_up_mug_003,pick_up_mug_002,18,0.1056,2.8961,1.0711,0.0871,120.5291,12.8555,0
time,0.1,pick_up_mug_003,pick_up_mug_004,16,0.1019,2.9007,43.3796,3.9539,536.4623,53.2755,0
time,0.1,pick_up_mug_003,pick_up_mug_005,10,0.1041,2.9018,6.9448,0.6253,852.6833,88.8969,0
time,0.1,pick_up_mug_003,pick_up_mug_006,11,0.1069,2.8959,12.6729,1.168,180.8867,16.833,0
time,0.1,pick_up_mug_003,pick_up_mug_007,14,0.1034,2.8972,0.0123,0.0011,685.4062,66.8606,0
time,0.1,pick_up_mug_003,pick_up_mug_008,8,0.1101,2.8928,50.7382,4.6956,748.8606,75.1868,0
time,0.1,pick_up_mug_004,pick_up_mug_001,7,0.107,2.9019,0.0,0.0,999.9678,117.419,0
time,0.1,pick_up_mug_004,pick_up_mug_002,14,0.1056,2.8984,0.9352,0.0898,623.695,66.6114,0
time,0.1,pick_up_mug_004,pick_up_mug_003,13,0.1035,2.8994,10.2316,0.9871,514.0551,53.4373,0
time,0.1,pick_up_mug_004,pick_up_mug_005,8,0.1008,2.9035,7.108,0.5785,374.0455,36.1118,0
time,0.1,pick_up_mug_004,pick_up_mug_006,8,0.1012,2.9019,10.4069,0.8141,741.0574,81.8781,0
